title,Név,Krém,Íz,Test,Ár,Össz:,url
One Eleven Santa Cecilia kávékóstoló,Rocketeer,4.5,9.0,4.0,7.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1830:one-eleven-santa-cecilia-kavekostolo&catid=43&Itemid=110
One Eleven Santa Cecilia kávékóstoló,SicTransit,4.0,7.5,5.0,7.5,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1830:one-eleven-santa-cecilia-kavekostolo&catid=43&Itemid=110
One Eleven Santa Cecilia kávékóstoló,Szabiakos,5.0,6.0,3.5,5.0,19.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1830:one-eleven-santa-cecilia-kavekostolo&catid=43&Itemid=110
One Eleven Santa Cecilia kávékóstoló,Lorien,4.0,7.5,4.0,6.5,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1830:one-eleven-santa-cecilia-kavekostolo&catid=43&Itemid=110
One Eleven Santa Cecilia kávékóstoló,Weinmaker,4.5,9.0,4.0,8.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1830:one-eleven-santa-cecilia-kavekostolo&catid=43&Itemid=110
Cracker Jack Colombia - az ördög a részletekben lakozik,Rocketeer,4.0,9.0,3.5,8.5,25.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1828:cracker-jack-colombia-az-ordog-a-reszletekben-lakozik&catid=43&Itemid=110
Cracker Jack Colombia - az ördög a részletekben lakozik,SicTransit,4.0,9.0,4.0,10.0,27.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1828:cracker-jack-colombia-az-ordog-a-reszletekben-lakozik&catid=43&Itemid=110
Cracker Jack Colombia - az ördög a részletekben lakozik,Szabiakos,4.0,10.0,3.5,9.5,27.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1828:cracker-jack-colombia-az-ordog-a-reszletekben-lakozik&catid=43&Itemid=110
Cracker Jack Colombia - az ördög a részletekben lakozik,Lorien,4.0,9.0,4.0,9.0,26.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1828:cracker-jack-colombia-az-ordog-a-reszletekben-lakozik&catid=43&Itemid=110
Cracker Jack Colombia - az ördög a részletekben lakozik,Weinmaker,4.0,9.0,3.5,9.0,25.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1828:cracker-jack-colombia-az-ordog-a-reszletekben-lakozik&catid=43&Itemid=110
Maran Ethiopia Nano Challa kávékóstoló,Rocketeer,4.0,10.0,3.5,9.0,26.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1826:maran-ethiopia-nan-challa-kavekostolo&catid=43&Itemid=110
Maran Ethiopia Nano Challa kávékóstoló,SicTransit,4.0,8.5,3.5,8.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1826:maran-ethiopia-nan-challa-kavekostolo&catid=43&Itemid=110
Maran Ethiopia Nano Challa kávékóstoló,Szabiakos,4.5,9.5,4.0,8.0,26.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1826:maran-ethiopia-nan-challa-kavekostolo&catid=43&Itemid=110
Maran Ethiopia Nano Challa kávékóstoló,Lorien,3.5,8.5,4.0,8.0,24.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1826:maran-ethiopia-nan-challa-kavekostolo&catid=43&Itemid=110
Maran Ethiopia Nano Challa kávékóstoló,Weinmaker,4.0,9.0,3.5,8.0,24.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1826:maran-ethiopia-nan-challa-kavekostolo&catid=43&Itemid=110
Umami San Remo blend kávékóstoló,Rocketeer,4.0,7.5,4.0,7.0,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1820:umami-san-remo-blend-kavekostolo&catid=43&Itemid=110
Umami San Remo blend kávékóstoló,SicTransit,4.0,7.0,4.0,7.5,22.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1820:umami-san-remo-blend-kavekostolo&catid=43&Itemid=110
Umami San Remo blend kávékóstoló,Szabiakos,4.0,7.0,4.0,6.0,21.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1820:umami-san-remo-blend-kavekostolo&catid=43&Itemid=110
Umami San Remo blend kávékóstoló,Lorien,4.0,6.5,4.5,7.0,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1820:umami-san-remo-blend-kavekostolo&catid=43&Itemid=110
Umami San Remo blend kávékóstoló,Weinmaker,4.0,7.0,4.0,7.0,22.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1820:umami-san-remo-blend-kavekostolo&catid=43&Itemid=110
Contador Prémium Arabica kávékóstoló,Rocketeer,4.5,6.5,4.5,5.0,20.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1818:contador-premium-arabica-kavekostolo&catid=43&Itemid=110
Contador Prémium Arabica kávékóstoló,SicTransit,4.5,5.0,5.0,5.0,19.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1818:contador-premium-arabica-kavekostolo&catid=43&Itemid=110
Contador Prémium Arabica kávékóstoló,Szabiakos,4.5,6.0,4.5,4.0,19.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1818:contador-premium-arabica-kavekostolo&catid=43&Itemid=110
Contador Prémium Arabica kávékóstoló,Lorien,4.5,6.0,4.5,6.0,21.0,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1818:contador-premium-arabica-kavekostolo&catid=43&Itemid=110
Contador Prémium Arabica kávékóstoló,Weinmaker,5.0,6.0,4.5,6.0,21.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1818:contador-premium-arabica-kavekostolo&catid=43&Itemid=110
Pacificaffe Costa Rica Hacienda Sonora kávékóstoló,Rocketeer,4.0,8.0,3.0,8.5,23.5,https://www.kavekorzo.hu/index.php?option=com_content&view=article&id=1814:pacificaffe-costa-rica-hacienda-sonora-kavekostolo&catid=43&Itemid=110
